SystematicID	Gene_name	Synonyms	Names
SPBC342.04	rpn1301	rpn13,rpn13a	rpn1301
SPBC16G5.01	rpn12	mts3,SPBC342.07	rpn12
SPAC31G5.13	rpn11	pad1,sks1,bfr2,mts5	rpn11
SPNCRNA.999	rpn10-antisense-1		rpn10-antisense-1
SPAC637.10c	rpn10	pus1	rpn10
SPAC637.11	rpm2	pah1,suv3	rpm2
SPCC1322.01	rpm1	SPCC23B6.06,par1	rpm1
SPNCRNA.1103	rpl902-antisense-1		rpl902-antisense-1
SPCC613.06	rpl902	rpl9-2	rpl902
SPAC4G9.16c	rpl901	rpl9-1	rpl901
SPBC839.04	rpl803	rpl8-3,rpk5-b,rpkD4	rpl803
SPBC2F12.07c	rpl802	rpl8-2,rpk37,rpk5b	rpl802
SPAC1F7.13c	rpl801	rpl8-1,rpl18,rpk5a,rpl2-1,SPAC21E11.02c,rpk5	rpl801
SPBC29A3.04	rpl8		rpl8
SPAC3H5.07	rpl702	rpl7-2,rpl7,rpl7b	rpl702
SPBC18H10.12c	rpl701	rpl7,rpl7-1	rpl701
SPCC622.18	rpl6		rpl6
SPBC11C11.09c	rpl502	rpl5-2,rpl5b	rpl502
SPAC3H5.12c	rpl501	rpl5-1,rpl5	rpl501
SPAC1687.06c	rpl44	rpl28	rpl44
SPBC83.02c	rpl4302	rpl43-2,rpl43,rpl37a-2	rpl4302
SPBC800.04c	rpl4301	rpl43-1,rpl43,rpl37a-1	rpl4301
SPAC15E1.03	rpl42	rpl36a	rpl42
SPAC3F10.18c	rpl4102	rpl41-2,rpl41,SPAC8F11.01c	rpl4102
SPAC3G6.13c	rpl4101	rpl41-1	rpl4101
SPBP8B7.03c	rpl402	rpl4-2,rpl4	rpl402
SPBC1711.06	rpl401	rpl4-1,rpl4	rpl401
SPCC663.04	rpl39		rpl39
SPAC30D11.12	rpl3802	rpl38-2,rps38	rpl3802
SPBC577.02	rpl3801	rpl38-1	rpl3801
SPAPB17E12.05	rpl3703	rpl37	rpl3703
SPCC1223.05c	rpl3702	rpl37-2,rpl37	rpl3702
SPBC405.07	rpl3602	rpl36-2,rpl36	rpl3602
SPCC970.05	rpl3601	rpl36-1	rpl3601
SPBC1921.01c	rpl35b	rpl37-1,rpl37	rpl35b
SPCP31B10.08c	rpl35a	rpl33	rpl35a
SPCC613.05c	rpl35		rpl35
SPCC1322.15	rpl3402	rpl34,rpl34-2	rpl3402
SPAC23A1.08c	rpl3401	rpl34,rpl34-1	rpl3401
SPAC3H5.10	rpl3202	rpl32-2,rpl32	rpl3202
SPBC16C6.11	rpl3201	rpl32-1	rpl3201
SPAC890.08	rpl31		rpl31
SPAPB8E5.06c	rpl302	rpl3-2,rpl3-b	rpl302
SPAC17A5.03	rpl301	rpl3-1,rpl3	rpl301
SPAC1250.05	rpl3002	rpl30-2,rpl30	rpl3002
SPAC9G1.03c	rpl3001	rpl30-1,rpl30	rpl3001
SPBC776.01	rpl29		rpl29
SPCC5E4.07	rpl2802	rpl28-2,rpl28	rpl2802
SPBC776.11	rpl2801	rpl28-1	rpl2801
SPNCRNA.1245	rpl2702-antisense-1		rpl2702-antisense-1
SPCC74.05	rpl2702	rpl27-2	rpl2702
SPBC685.07c	rpl2701	rpl27-1	rpl2701
SPBC29B5.03c	rpl26		rpl26
SPBC4F6.04	rpl2502	rpl25b,rpl23a-2	rpl2502
SPBC106.18	rpl2501	rpl25a	rpl2501
SPCC330.14c	rpl2402	rpl24-2	rpl2402
SPAC6G9.09c	rpl2401	rpl24-01,rpl24	rpl2401
SPCC1322.11	rpl2302	rpl23-2	rpl2302
SPAC3G9.03	rpl2301	rpl23-1	rpl2301
SPAC11E3.15	rpl22	SPAP8A3.01	rpl22
SPAC959.08	rpl2102	rpl21-2,rpl21	rpl2102
SPBC365.03c	rpl2101	rpl21,rpl21-1	rpl2101
SPAC26A3.04	rpl2002	rpl20,rpl20-2	rpl2002
SPNCRNA.741	rpl2001-antisense-1		rpl2001-antisense-1
SPAC3A12.10	rpl2001	rpl20-1,rpl20,yl17b,rpl18a-2	rpl2001
SPNCRNA.1261	rpl20-antisense-1		rpl20-antisense-1
SPCC1682.14	rpl1902	rpl19-2	rpl1902
SPBC56F2.02	rpl1901	rpl19-1	rpl1901
SPAPB17E12.13	rpl1802	rpl18-2	rpl1802
SPNCRNA.1594	rpl1801-antisense-1		rpl1801-antisense-1
SPBC11C11.07	rpl1801	rpl18-1,rpl18	rpl1801
SPCC364.03	rpl1702	rpl17-2,rpl17	rpl1702
SPBC2F12.04	rpl1701	rpl17,rpl17-1	rpl1701
SPBC2G2.05	rpl1603	rpl16c	rpl1603
SPAC23A1.11	rpl1602	rpl16-2	rpl1602
SPBC839.13c	rpl1601		rpl1601
SPAC1783.08c	rpl1502	rpl15-2	rpl1502
SPCC576.11	rpl15		rpl15
SPAC1805.13	rpl14		rpl14
SPAC664.05	rpl13		rpl13
SPCC31H12.04c	rpl1202	rpl12-2,rpl12	rpl1202
SPCC16C4.13c	rpl1201	rpl12-1,rpl12.1	rpl1201
SPBC17G9.10	rpl1102	rpl11-2	rpl1102
SPAC26A3.07c	rpl1101	rpl11-1,rpl11	rpl1101
SPNCRNA.1578	rpl102-antisense-1		rpl102-antisense-1
SPBC30D10.18c	rpl102	rpl1-2,rpl10a-2	rpl102
SPCC1183.08c	rpl101	rpl1-1,rpl10a-1	rpl101
SPNCRNA.933	rpl1002-antisense-1		rpl1002-antisense-1
SPAP7G5.05	rpl1002	rpl10-2,rpl10	rpl1002
SPBC18E5.04	rpl1001	rpl10-1,rpl10	rpl1001
SPAC926.08c	rpf2		rpf2
SPAPB1E7.03	rpc82		rpc82
SPCC18.07	rpc53		rpc53
SPBC1289.07c	rpc40	rpa42	rpc40
SPCC330.13	rpc37		rpc37
SPCC290.02	rpc34		rpc34
SPBC839.12	rpc31		rpc31
SPBC2G5.07c	rpc25		rpc25
SPAC4G9.08c	rpc2		rpc2
SPAC1687.01	rpc19	rpa17,SPAPYUL23.01	rpc19
SPAPB1E7.10	rpc17		rpc17
SPAC22A12.05	rpc11		rpc11
SPBC19C2.03	rpc10	rpb12	rpc10
SPBC651.08c	rpc1		rpc1
SPAPYUG7.04c	rpb9		rpb9
SPBC14C8.12	rpb8		rpb8
SPACUNK4.06c	rpb7	SPAPYUK71.02,csp3	rpb7
SPCC1020.04c	rpb6	rpo15	rpb6
SPAC23C4.15	rpb5		rpb5
SPBC337.14	rpb4		rpb4
SPCC1442.10c	rpb3		rpb3
SPAC23G3.01	rpb2	SPAC521.06	rpb2
SPAC3A12.07	rpb11		rpb11
SPAC1B3.12c	rpb10		rpb10
SPBC28F2.12	rpb1		rpb1
SPAC2F3.03c	rpa49	rpa51	rpa49
SPNCRNA.1655	rpa43-antisense-1		rpa43-antisense-1
SPBC3B9.07c	rpa43	rpa21	rpa43
SPBC11G11.05	rpa34		rpa34
SPBP23A10.07	rpa2		rpa2
SPCC1259.03	rpa12		rpa12
SPNCRNA.1225	rox3-antisense-1		rox3-antisense-1
SPCC1450.05c	rox3	med19	rox3
SPAC31G5.02	rot1		rot1
SPAC22F3.08c	rok1		rok1
SPAC4A8.10	rog1		rog1
SPAC31A2.12	rod1		rod1
SPBC13G1.14c	rns1	rnps1	rns1
SPMITNCRNA.01	rnpB		rnpB
SPAC3G6.04	rnp24		rnp24
SPAC4G9.02	rnh201		rnh201
SPBC336.06c	rnh1		rnh1
SPNCRNA.1627	rng9-antisense-1		rng9-antisense-1
SPBP8B7.02	rng9		rng9
SPAC4H3.14c	rng8		rng8
SPCC613.04c	rng3		rng3
SPAC4F8.13c	rng2		rng2
SPAC688.07c	rng10		rng10
SPBP8B7.23	rnf10		rnf10
SPCC757.09c	rnc1		rnc1
SPAC227.12	rna4	prp4	rna4
SPAC644.16	rna15		rna15
SPAC6F12.17	rna14		rna14
SPAC22E12.07	rna1		rna1
SPBC8D2.10c	rmt3		rmt3
SPAC26A3.17c	rmt2	SPAC8E11.11	rmt2
SPAC890.07c	rmt1	prmt1	rmt1
SPAC323.08	rmp1		rmp1
SPBC902.04	rmn1		rmn1
SPCC16C4.15	rml2		rml2
SPAC26A3.03c	rmi1		rmi1
SPAC664.06	rlp7	rpl7	rlp7
SPAC22E12.13c	rlp24		rlp24
SPBC1685.11	rlp1		rlp1
SPBC14F5.06	rli1		rli1
SPAC926.03	rlc1		rlc1
SPNCRNA.572	rkr1-antisense-1	SPNG2AF37	rkr1-antisense-1
SPBC21D10.09c	rkr1	ltn1	rkr1
SPAC144.12	rki1		rki1
SPBC16E9.10c	rix7		rix7
SPCC4G3.18	rix1		rix1
SPAC3F10.06c	rit1		rit1
SPBC16H5.06	rip1		rip1
SPBC1703.05	rio2		rio2
SPAC10F6.10	rio1		rio1
SPAC2G11.05c	rim20		rim20
SPAC688.09	rim2		rim2
SPAC2F3.04c	rim1		rim1
SPCC11E10.08	rik1		rik1
SPNCRNA.852	rif1-antisense-1		rif1-antisense-1
SPAC6F6.17	rif1	tap1,tap11,SPAPJ736.01	rif1
SPBC1709.12	rid1		rid1
SPAC1851.04c	ric1	SPAC27D7.01c,sat4,vas3	ric1
SPBC21C3.10c	rib7		rib7
SPCC1450.13c	rib5		rib5
SPBC409.13	rib4		rib4
SPBC23E6.06c	rib3		rib3
SPCC4G3.16	rib2		rib2
SPAP27G11.09c	rib1		rib1
SPCC553.08c	ria1		ria1
SPCC330.02	rhp7	SPCC613.14	rhp7
SPAC18B11.07c	rhp6	ubc2,sng1,rad6	rhp6
SPCC4G3.10c	rhp42	rhp4b	rhp42
SPAC12B10.12c	rhp41	rhp4a	rhp41
SPCP25A2.02c	rhp26		rhp26
SPBC2D10.12	rhp23		rhp23
SPBC1734.06	rhp18		rhp18
SPNCRNA.1105	rhp16-antisense-1		rhp16-antisense-1
SPCC330.01c	rhp16	SPCC613.13c,rad16	rhp16
SPNCRNA.1368	rhp14-antisense-1		rhp14-antisense-1
SPBC649.03	rhp14		rhp14
SPAC20H4.11c	rho5		rho5
SPAC16A10.04	rho4		rho4
SPAC23C4.08	rho3		rho3
SPAC16.01	rho2		rho2
SPAC1F7.04	rho1		rho1
SPNCRNA.1406	rhn1-antisense-1		rhn1-antisense-1
SPBC337.03	rhn1	iss4	rhn1
SPBC428.16c	rhb1		rhb1
SPAC22F3.12c	rgs1		rgs1
SPNCRNA.1181	rgf3-antisense-1		rgf3-antisense-1
SPCC645.06c	rgf3	lad1	rgf3
SPAC1006.06	rgf2		rgf2
SPCC645.07	rgf1		rgf1
SPAC1952.16	rga9		rga9
SPAC13A11.01c	rga8	SPAC2F7.18c	rga8
SPBC23G7.08c	rga7		rga7
SPBC354.13	rga6		rga6
SPBC17F3.01c	rga5	SPBC557.01	rga5
SPBC28E12.03	rga4		rga4
SPAC29A4.11	rga3		rga3
SPAC26A3.09c	rga2	SPAC26A3.09	rga2
SPBC3F6.05	rga1		rga1
SPNCRNA.1618	rft1-antisense-1		rft1-antisense-1
SPBC887.19	rft1		rft1
SPAC343.18	rfp2		rfp2
SPAC19A8.10	rfp1	mug140	rfp1
SPBC83.14c	rfc5		rfc5
SPAC1687.03c	rfc4		rfc4
SPAC27E2.10c	rfc3	SPAPJ698.01c	rfc3
SPAC23D3.02	rfc2		rfc2
SPBC23E6.07c	rfc1		rfc1
SPBC1604.09c	rex4		rex4
SPNCRNA.1023	rex3-antisense-1		rex3-antisense-1
SPAC1782.08c	rex3		rex3
SPBC1347.07	rex2		rex2
SPAC637.09	rex1		rex1
SPBC12D12.09	rev7		rev7
SPAC688.10	rev3		rev3
SPNCRNA.1662	rev1-antisense-1		rev1-antisense-1
SPBC1347.01c	rev1	SPBC215.16c	rev1
SPCC576.07	ret3		ret3
SPCC285.08	ret2		ret2
SPAC22F3.09c	res2	mcs1,pct1	res2
SPBC725.16	res1	sct1	res1
SPAC4D7.04c	rer2		rer2
SPAC22E12.05c	rer1		rer1
SPBC2F12.11c	rep2		rep2
SPBC2D10.06	rep1	rec16	rep1
SPNCRNA.571	rem1-antisense-2	SPNG2AF49	rem1-antisense-2
SPNCRNA.1481	rem1-antisense-1		rem1-antisense-1
SPBC16E9.17c	rem1		rem1
SPCC550.15c	rei1		rei1
SPAC227.15	reg1		reg1
SPBC337.12	red5		red5
SPAC1006.03c	red1	iss3	red1
SPBC29A10.14	rec8		rec8
SPNCRNA.132	rec7-antisense-2	tos3	rec7-antisense-2
SPNCRNA.1203	rec7-antisense-1		rec7-antisense-1
SPCC1753.03c	rec7		rec7
SPBC21B10.12	rec6		rec6
SPBC577.05c	rec27	mug41	rec27
SPAC17A5.18c	rec25	mug19	rec25
SPAC1952.15c	rec24	mug6	rec24
SPBC1711.14	rec15		rec15
SPBC32F12.02	rec14		rec14
SPNCRNA.760	rec12-antisense-1		rec12-antisense-1
SPAC17A5.11	rec12	spo11	rec12
SPNCRNA.1180	rec11-antisense-1		rec11-antisense-1
SPCC4E9.01c	rec11	SPCC550.16c	rec11
SPAC25G10.04c	rec10	rec20	rec10
SPBC1198.11c	reb1	SPBC660.01c	reb1
SPAC343.12	rds1		rds1
SPAC6F12.09	rdp1	rdr1,csp7	rdp1
SPAC4H3.07c	rdl2	fmp31	rdl2
SPAC17H9.03c	rdl1		rdl1
SPAC6F12.06	rdi1		rdi1
SPAC22F3.03c	rdh54	tid1,mug34	rdh54
SPNCRNA.1492	rct1-antisense-1		rct1-antisense-1
SPBC17G9.05	rct1	cyp6	rct1
SPAC2C4.06c	rcm1		rcm1
SPAC12G12.06c	rcl1		rcl1
SPAC1565.01	rcf2		rcf2
SPAC25B8.07c	rcf1		rcf1
SPAC1687.02	rce1	ppp10	rce1
SPAC29B12.06c	rcd1		rcd1
SPAC23H4.18c	rbx1	pip1	rbx1
SPAC23A1.09	rbm8	Y14	rbm8
SPBC16G5.02c	rbk1		rbk1
SPAC19B12.06c	rbd4	ppp79	rbd4
SPBP4H10.10	rbd3	rh2,ppp73	rbd3
SPCC790.03	rbd2	ppp75	rbd2
SPBC13E7.11	rbd1	SPBC30D10.19c,rh1,ppp72	rbd1
SPBC947.13	rba50		rba50
SPAC6F6.06c	rax2		rax2
SPBC3H7.12	rav2		rav2
SPNCRNA.1610	rav1-antisense-1		rav1-antisense-1
SPBC1105.10	rav1		rav1
SPAC17H9.09c	ras1	ste5	ras1
SPBC17A3.04c	rar1	mrs1,mes1	rar1
SPBC1778.02	rap1	lot2	rap1
SPBC21.05c	ral2		ral2
SPCC970.07c	raf2	dos2,cmc2,clr7	raf2
SPCC613.12c	raf1	dos1,cmc1,clr8	raf1
SPBC16A3.05c	rae1	cut21	rae1
SPAC664.07c	rad9		rad9
SPNCRNA.617	rad8-antisense-1		rad8-antisense-1
SPAC13G6.01c	rad8	SPAC5H10.14c	rad8
SPBC1921.02	rad60		rad60
SPAC20H4.07	rad57	rhp57	rad57
SPNCRNA.791	rad55-antisense-1		rad55-antisense-1
SPAC3C7.03c	rad55	rhp55	rad55
SPAC15A10.03c	rad54	rhp54	rad54
SPNCRNA.711	rad52-antisense-1		rad52-antisense-1
SPAC30D11.10	rad52	rad22A,rad22	rad52
SPAC644.14c	rad51	rhp51	rad51
SPNCRNA.936	rad50-antisense-1		rad50-antisense-1
SPAC1556.01c	rad50	SPAP4C9.01c	rad50
SPAC23C4.18c	rad4	cut5,dre3,dpb11	rad4
SPAC4C5.04	rad31	uba4	rad31
SPBC216.05	rad3		rad3
SPAC9E9.08	rad26		rad26
SPAC17A2.13c	rad25		rad25
SPAC8E11.02c	rad24	sam4,anr5	rad24
SPCC338.17c	rad21		rad21
SPNCRNA.1079	rad2-antisense-1		rad2-antisense-1
SPAC3G6.06c	rad2	fen1	rad2
SPAC14C4.13	rad17		rad17
SPCC970.01	rad16	rad10,rad20,swi9	rad16
SPNCRNA.673	rad15-antisense-1		rad15-antisense-1
SPAC1D4.12	rad15	rhp3,rad5	rad15
SPBC3E7.08c	rad13		rad13
SPAC1952.07	rad1	rad19	rad1
SPAC589.05c	qtr3		qtr3
SPAC2F3.13c	qtr2		qtr2
SPAC1687.19c	qtr1	qtrt1	qtr1
SPNCRNA.576	qrs1-antisense-1	SPNG2AF40	qrs1-antisense-1
SPBC342.02	qrs1		qrs1
SPCC553.02	qns1		qns1
SPCC1682.01	qcr9		qcr9
SPAC1782.07	qcr8		qcr8
SPCC737.02c	qcr7		qcr7
SPBC16C6.08c	qcr6		qcr6
SPCC613.10	qcr2		qcr2
SPNCRNA.1558	qcr10-antisense-1		qcr10-antisense-1
SPBP4H10.08	qcr10		qcr10
SPBP23A10.15c	qcr1	mas1	qcr1
SPAC57A7.08	pzh1		pzh1
SPBC17G9.11c	pyr1		pyr1
SPAC11E3.09	pyp3		pyp3
SPAC19D5.01	pyp2		pyp2
SPAC26F1.10c	pyp1		pyp1
SPAC4H3.10c	pyk1		pyk1
SPAC890.05	pxr1		pxr1
SPBC4F6.12	pxl1		pxl1
SPCC1322.02	pxd1		pxd1
SPAC5D6.07c	pxa1		pxa1
SPBC713.04c	pwp2		pwp2
SPBC1711.16	pwp1		pwp1
SPCC825.05c	pwi1	srm160	pwi1
SPAC22F8.02c	pvg5	mug50	pvg5
SPNCRNA.1512	pvg3-antisense-1		pvg3-antisense-1
SPBC1921.06c	pvg3	mug49	pvg3
SPAC27E2.07	pvg2	mug53	pvg2
SPAC8F11.10c	pvg1	SPACUNK4.18	pvg1
SPNCRNA.1091	put4-antisense-1		put4-antisense-1
SPAC869.10c	put4		put4
SPBC24C6.04	put2		put2
SPCC70.03c	put1		put1
SPAC18B11.02c	pus9		pus9
SPBC1A4.09	pus7		pus7
SPBC11C11.10	pus4	SPBC3B8.13c	pus4
SPCC16C4.06c	pus3		pus3
SPNCRNA.1615	pus2-antisense-1		pus2-antisense-1
SPBC887.11	pus2		pus2
SPCC126.03	pus1		pus1
SPCC63.12c	pup3		pup3
SPAC323.02c	pup2		pup2
SPAC23D3.07	pup1		pup1
SPAC15A10.09c	pun1	sur7	pun1
SPCP1E11.11	puf6		puf6
SPAC4G8.03c	puf5		puf5
SPAC6G9.14	puf4		puf4
SPAC1687.22c	puf3	SPAC222.02c	puf3
SPBP35G2.14	puf2		puf2
SPBC56F2.08c	puf1		puf1
SPBC19F5.01c	puc1	SPBP8B7.32c	puc1
SPBC16E9.11c	pub3		pub3
SPAC1805.15c	pub2		pub2
SPAC11G7.02	pub1		pub1
SPAC4A8.13c	pts1		pts1
SPAC17A5.06	ptr8	ercc3	ptr8
SPBC1604.21c	ptr3	uba1,SPBC211.09	ptr3
SPBC13A2.04c	ptr2		ptr2
SPAC19D5.04	ptr1		ptr1
SPBC3D6.05	ptp4		ptp4
SPNCRNA.1584	ptn1-antisense-1		ptn1-antisense-1
SPBC609.02	ptn1		ptn1
SPAC1A6.05c	ptl3		ptl3
SPAC1786.01c	ptl2	SPAC31G5.20c	ptl2
SPCC1450.16c	ptl1		ptl1
SPNCRNA.1599	ptk1-antisense-1		ptk1-antisense-1
SPBC4B4.01c	ptk1		ptk1
SPAC589.11	pth4	mug82	pth4
SPBC1105.18c	pth3	SPBC887.21c	pth3
SPAC19A8.14	pth2		pth2
SPBC2D10.15c	pth1		pth1
SPNCRNA.1683	ptf2-antisense-1		ptf2-antisense-1
SPBC16G5.13	ptf2		ptf2
SPAC823.14	ptf1		ptf1
SPAC4A8.03c	ptc4		ptc4
SPAC2G11.07c	ptc3		ptc3
SPCC1223.11	ptc2		ptc2
SPCC4F11.02	ptc1		ptc1
SPAC167.02	ptb1		ptb1
SPAC1071.01c	pta1	SPAC4H3.15c	pta1
SPNCRNA.1396	psy2-antisense-1		psy2-antisense-1
SPBC216.01c	psy2	SPBC713.13c	psy2
SPCC825.03c	psy1	sso1	psy1
SPAC1002.13c	psu1		psu1
SPBC1734.16c	pst3		pst3
SPAC23C11.15	pst2		pst2
SPBC12C2.10c	pst1	SPBC21D10.01c	pst1
SPAC110.04c	pss1	ssp1,SPAP14E8.01c	pss1
SPAC2F7.02c	psr1		psr1
SPAC1006.01	psp3		psp3
SPAC22A12.01c	pso2	snm1,SPAC56F8.17c	pso2
SPNCRNA.725	psm3-antisense-1		psm3-antisense-1
SPAC10F6.09c	psm3	smc3	psm3
SPNCRNA.1525	psm1-antisense-1		psm1-antisense-1
SPBC29A10.04	psm1	smc1	psm1
SPBC20F10.10	psl1		psl1
SPCC4G3.08	psk1		psk1
SPCC830.07c	psi1	psi	psi1
SPBC409.20c	psh3		psh3
SPBC21C3.17c	psg1		psg1
SPNCRNA.659	psf3-antisense-1		psf3-antisense-1
SPAC227.16c	psf3		psf3
SPBC725.13c	psf2	dre13,bsh3	psf2
SPBP23A10.09	psf1		psf1
SPAC31G5.15	psd3		psd3
SPAC25B8.03	psd2		psd2
SPBC16E9.18	psd1	SPBC1E8.01	psd1
SPAC17H9.20	psc3	SPAC607.01	psc3
SPAC4G8.13c	prz1		prz1
SPAC29A4.18	prw1		prw1
spncrna.9001	prt2	SPBC8E4.02c	prt2
SPBC530.05	prt1		prt1
SPBC3D6.06c	prs5		prs5
SPBC19C7.06	prs1		prs1
SPAC8C9.14	prr1		prr1
SPBP22H7.07	prp5	cwf1	prp5
SPCC188.11	prp45	cwf13,snw1,SPCC584.08	prp45
SPBC16H5.10c	prp43		prp43
SPCC777.14	prp4		prp4
SPBC19C2.08	prp38		prp38
SPBC119.13c	prp31		prp31
SPAC29E6.02	prp3	SPAC30.06	prp3
SPCC63.11	prp28		prp28
SPBC1861.04c	prp24		prp24
SPNCRNA.724	prp22-antisense-1		prp22-antisense-1
SPAC10F6.02c	prp22		prp22
SPNCRNA.1405	prp2-antisense-1		prp2-antisense-1
SPBC146.07	prp2	mis11,uaf1,ods1	prp2
SPAC29A4.08c	prp19	cwf8	prp19
SPCC126.14	prp18		prp18
SPBC6B1.10	prp17		prp17
SPBC1711.17	prp16	SPBC17G9.01,prp14	prp16
SPAPJ698.03c	prp12	sap130,SF3b130	prp12
SPCC10H11.01	prp11	prp5	prp11
SPAC27F1.09c	prp10	sap155,SF3b155	prp10
SPNCRNA.1539	prp1-antisense-1		prp1-antisense-1
SPBC6B1.07	prp1	zer1	prp1
SPAC17H9.13c	pro2		pro2
SPAC821.11	pro1		pro1
SPAP7G5.03	prm1		prm1
SPNCRNA.09	prl9	prl09	prl9
SPNCRNA.08	prl8	prl08	prl8
SPNCRNA.68	prl68		prl68
SPNCRNA.66	prl66	SPNCRNA.104	prl66
SPAC19A8.16	prl65		prl65
SPNCRNA.62	prl62	SPNCRNA.101	prl62
SPNCRNA.61	prl61	SPAC186.07c-antisense-1	prl61
SPNCRNA.06	prl6	prl06	prl6
SPNCRNA.59	prl59	SPNCRNA.817,SPNCRNA.77,SPNCRNA.78	prl59
SPNCRNA.58	prl58		prl58
SPNCRNA.57	prl57		prl57
SPNCRNA.56	prl56	SPACUNK4.13c-antisense-1	prl56
SPNCRNA.54	prl54		prl54
SPNCRNA.53	prl53	prl63,prl49,SPNCRNA.63	prl53
SPNCRNA.52	prl52		prl52
SPNCRNA.51	prl51		prl51
SPNCRNA.50	prl50		prl50
SPNCRNA.05	prl5	mug121-antisense-1,prl05	prl5
SPNCRNA.47	prl47	SPAC24H6.01c-antisense-1	prl47
SPNCRNA.46	prl46		prl46
SPNCRNA.45	prl45		prl45
SPNCRNA.43	prl43		prl43
SPNCRNA.42	prl42		prl42
SPNCRNA.40	prl40		prl40
SPNCRNA.04	prl4	prl04	prl4
SPNCRNA.39	prl39		prl39
SPNCRNA.38	prl38		prl38
SPNCRNA.37	prl37		prl37
SPNCRNA.36	prl36		prl36
SPNCRNA.35	prl35		prl35
SPNCRNA.34	prl34	SPNCRNA.1388	prl34
SPNCRNA.33	prl33		prl33
SPNCRNA.32	prl32		prl32
SPNCRNA.03	prl3	prl03	prl3
SPNCRNA.28	prl28		prl28
SPNCRNA.27	prl27		prl27
SPNCRNA.26	prl26		prl26
SPNCRNA.25	prl25	atp7-antisense-1	prl25
SPNCRNA.24	prl24		prl24
SPNCRNA.23	prl23		prl23
SPNCRNA.22	prl22		prl22
SPNCRNA.21	prl21		prl21
SPNCRNA.20	prl20		prl20
SPNCRNA.02	prl2	prl02	prl2
SPNCRNA.19	prl19		prl19
SPNCRNA.16	prl16		prl16
SPNCRNA.15	prl15	SPBC27B12.05-antisense-1	prl15
SPNCRNA.14	prl14	SPAC1486.03c-antisense-1	prl14
SPNCRNA.13	prl13		prl13
SPNCRNA.12	prl12		prl12
SPNCRNA.11	prl11		prl11
SPNCRNA.1705	prl108	prl8	prl108
SPNCRNA.1704	prl107	prl7	prl107
SPNCRNA.1706	prl106	prl6	prl106
SPNCRNA.1703	prl105	prl5	prl105
SPNCRNA.1702	prl104	prl4	prl104
SPNCRNA.1708	prl103	prl3	prl103
SPNCRNA.1707	prl102	prl2	prl102
SPNCRNA.1701	prl101	prl1	prl101
SPNCRNA.1234	prl10	SPNCRNA.10,nmt1-antisense-1	prl10
SPNCRNA.01	prl1	prl01	prl1
SPNCRNA.690	prh1-antisense-1		prh1-antisense-1
SPAC2G11.11c	prh1		prh1
SPBC651.09c	prf1	rtf1	prf1
SPAC13C5.01c	pre9	SPAC31A2.17c	pre9
SPCC1442.06	pre8		pre8
SPBC106.16	pre6		pre6
SPAC6G10.04c	pre5		pre5
SPBC577.10	pre4		pre4
SPBC4C3.10c	pre3		pre3
SPCC1795.04c	pre10		pre10
SPAC31A2.04c	pre1		pre1
SPAC2F3.11	ppx1		ppx1
SPAC56F8.04c	ppt1	coq2	ppt1
SPCC1442.12	pps1		pps1
SPBC1289.06c	ppr8		ppr8
SPBC16A3.03c	ppr7		ppr7
SPCC11E10.04	ppr6		ppr6
SPAC1093.01	ppr5	SPAC12B10.18	ppr5
SPAC8C9.06c	ppr4		ppr4
SPBC19G7.07c	ppr3	dmr1	ppr3
SPBC18H10.11c	ppr2		ppr2
SPBC106.19	ppr10	SPBC582.01	ppr10
SPBC1604.02c	ppr1	ppr11	ppr1
SPBC1711.12	ppp16		ppp16
SPBC19F5.05c	ppp1	SPBC25D12.01c	ppp1
SPCC74.02c	ppn1		ppn1
SPBC19C7.08c	ppm2		ppm2
SPNCRNA.1628	ppm1-antisense-1		ppm1-antisense-1
SPBP8B7.08c	ppm1		ppm1
SPAC23H4.02	ppk9		ppk9
SPAC22G7.08	ppk8		ppk8
SPAC1805.01c	ppk6	SPAPJ736.02c	ppk6
SPCP1E11.02	ppk38		ppk38
SPCC162.10	ppk33		ppk33
SPBP23A10.10	ppk32		ppk32
SPBC725.06c	ppk31	mug25	ppk31
SPBC6B1.02	ppk30		ppk30
SPNCRNA.1421	ppk3-antisense-1		ppk3-antisense-1
SPAC15A10.13	ppk3		ppk3
SPBC557.04	ppk29		ppk29
SPBC337.04	ppk27		ppk27
SPBC336.14c	ppk26		ppk26
SPBC32C12.03c	ppk25	kin2	ppk25
SPBC21.07c	ppk24		ppk24
SPBC1861.09	ppk22		ppk22
SPBC1778.10c	ppk21	SPBC4C3.11	ppk21
SPBC119.07	ppk19	vps15	ppk19
SPAPB18E9.02c	ppk18		ppk18
SPAC890.03	ppk16	mug92	ppk16
SPAC823.03	ppk15		ppk15
SPAC4G8.05	ppk14		ppk14
SPAC3H1.13	ppk13		ppk13
SPAC2C4.14c	ppk11		ppk11
SPAC110.01	ppk1	SPAC140.05	ppk1
SPBC28F2.03	ppi1	cyp2	ppi1
SPBC26H8.05c	ppe2	pph3	ppe2
SPCC1739.12	ppe1	esp1,ppx1,eck2	ppe1
SPAC4H3.11c	ppc89	mug127	ppc89
SPNCRNA.1173	ppc1-antisense-1		ppc1-antisense-1
SPCC4B3.18	ppc1	cab2	ppc1
SPBP4H10.04	ppb1		ppb1
SPAC22H10.04	ppa3	ppg1	ppa3
SPBC16H5.07c	ppa2		ppa2
